GATE,STATUS,EVIDENCE,BLOCKER,NEXT ACTION
CANONICAL_VERCEL_PROJECT,READY,Vercel API + local link: perfect-foundation-api / prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9, rootDirectory=backend, framework=django, branch=master,NONE,None
VERCEL_BUILD_DIAGNOSIS,READY,Vercel API errorCode=PYTHON_ENTRYPOINT_NOT_FOUND (buildStep), verbatim errorMessage captured for dpl_AhAN32CjrfvHjEE21cxkdzomJ75V@e59c180,NONE,None
VERCEL_BUILD_CONFIGURATION,BLOCKED,backend/pyproject.toml has [tool.vercel] entrypoint="backend/config/wsgi.py" which is invalid under rootDirectory=backend; proven READY build dbb2d95 had no such file,Invalid entrypoint override present,Apply documented minimal correction in an authorized later phase
VERCEL_DEPENDENCIES,READY,requirements.txt pins dj-database-url==2.3.0 and redis==5.0.0; failure is ENTRYPOINT not INSTALL_DEPENDENCY,NONE,None
VERCEL_ENVIRONMENT,READY,Required production env names present (DATABASE_URL, DJANGO_SETTINGS_MODULE, DJANGO_SECRET_KEY, DJANGO_ALLOWED_HOSTS, DJANGO_CSRF_TRUSTED_ORIGINS); values never disclosed,NONE,None
VERCEL_QUOTA,UNKNOWN,No deployment attempted (forbidden); no authoritative quota evidence,Unable to verify without a deploy,Confirm via Vercel account/dashboard read-only evidence
BACKEND_HEALTH,READY,Local: manage.py check exit 0; collectstatic exit 0 (157 files); migrate --plan resolves; production health probe previously showed DB OK (not migration proof),NONE,None
REPORTS_IMPORTS,READY,REPORTS_IMPORT_OK; APIView/Response/IsAccountantRole/REPORT_VIEW_MAP present; urls import resolves; 47 URL patterns,NONE,None
DJANGO_CHECK,READY,python manage.py check exit 0 (system warnings only, incl. non-unique username field warning from existing code),NONE,None
STATIC_COLLECTION,READY,python manage.py collectstatic --noinput --dry-run exit 0, 157 unmodified files,NONE,None
CACHE,READY,base.py:291-312 Redis if REDIS_URL/UPSTASH_REDIS_URL else LocMemCache fallback; ratelimit disabled; unchanged,NONE,None
MIGRATION_IDENTITY,UNKNOWN,Carried forward per directive: SOURCE_IDENTITY=NOT_IDENTIFIED, SOURCE_PRESENT=NO, EXPECTED=UNKNOWN,No authoritative migration-source evidence,None
TARGET_MIGRATION_STATE,UNKNOWN,TARGET_STATUS=UNKNOWN; no read-only authoritative production migration evidence,TARGET entirely unverifiable from this workstation,None
MODEL_MIGRATION_DRIFT,BLOCKED,makemigrations --check --dry-run exit 1 lists 0028_alter_roleassignment_role_alter_rolepermission_role (choices-metadata only); MODEL_MIGRATION_DRIFT != PROVEN_MISSING_MIGRATION,Drift is not the build cause; MIGRATION_GATE=UNKNOWN,None (do not create 0028)
FIVE_ROLE_ACCOUNT_PATH,BLOCKED,GUARD and LIBRARIAN have seed provisioning paths (base.py / demo_seed); COUNSELLOR/ADMINISTRATIVE_OFFICER/NURSE have no proven creation path,3 of 5 roles lack a proven provisioning path,Do not provision; track in later phase
PROTECTED_ROLE_BASELINE,READY,Protected baseline 7357c18d is ancestor of HEAD (verified); protected role/authorization files and frontend App.jsx unchanged; five-role regression identical to Phase 96.4 (pre-existing infrastructure failures 12/11),NONE,None
FRONTEND_API_TARGET,READY,frontend/vercel.json rewrites /api -> https://perfect-foundation-api.vercel.app/api (matches canonical),NONE,None
VERCEL_LOCAL_LINK,READY,backend/.vercel/project.json -> canonical project prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9 (corrected during earlier evidence pass; documented; no further changes),NONE,None
DEPLOYMENT_AUTHORIZATION,WAITING_FOR_OWNER_CONFIRMATION,No deploy attempted; NO_DEPLOYMENT_PERFORMED=YES; STOP-AND-CONFIRM required before any redeploy,Owner approval required,Owner review and explicit approval; then apply + push documented entrypoint correction
OVERALL,BLOCKED,Build failure conclusively diagnosed (ENTRYPOINT class); correction documented but not applied (read-only phase); deployment authorization pending,Source correction not applied + deployment not authorized,Owner approves next phase to apply fix and/or deploy
