PHASE_97_STAGE_C_AUTHORIZATION_MATRIX,ROLE,MODULE,NAV,ROUTE_EXISTS,FRONTEND_GATE,BACKEND_PERMISSION,PRODUCTION_ASSIGNMENT,EXPECTATION_STATUS
COUNSELLOR,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED
COUNSELLOR,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
COUNSELLOR,health-records,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
COUNSELLOR,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
COUNSELLOR,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
GUARD,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED
GUARD,visitors,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED
GUARD,health-records,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
GUARD,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
GUARD,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
NURSE,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED
NURSE,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
NURSE,health-records,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED
NURSE,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
NURSE,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
ADMINISTRATIVE_OFFICER,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED
ADMINISTRATIVE_OFFICER,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
ADMINISTRATIVE_OFFICER,health-records,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
ADMINISTRATIVE_OFFICER,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
ADMINISTRATIVE_OFFICER,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
LIBRARIAN,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED
LIBRARIAN,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
LIBRARIAN,health-records,YES,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
LIBRARIAN,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
LIBRARIAN,library,YES,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED
