GATE,STATUS,EVIDENCE,BLOCKER,NEXT ACTION
G01 CANONICAL_VERCEL_PROJECT,READY,perfect-foundation-api prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9; sole deployment target; no project created/transferred,None,None
G02 ROOT_DIRECTORY,READY,Project rootDirectory=backend; gitRootDirectory=backend; unchanged,None,None
G03 ENTRYPOINT_CONFIGURATION,READY,backend/pyproject.toml entrypoint override removed (0e44fe4); not reintroduced,None,None
G04 VERcel_DOUBLE_ROOT,RESOLVED,Root /vercel.json `cd backend &&` prefixes removed (commit 9cedc33); commands now backend/-relative; JSON parses; no `cd backend` remains,None,None
G05 DJANGO_CHECK,PASS,python backend/manage.py check exit 0 (pre-existing auth.W004 only),None,None
G06 WSGI_IMPORT,PASS,config.wsgi:application = WSGIHandler; handler present,None,None
G07 REPORTS_IMPORT_URLS,PASS,REPORTS import OK; REPORT_VIEW_MAP present; URL resolver functional,None,None
G08 STATIC_COLLECTION,PASS,collectstatic --dry-run exit 0; 157 unmodified,None,None
G09 FIVE_ROLE_REGRESSION,UNCHANGED,Ran 19 tests; failures=12 errors=11 identical to prior phases (infrastructure, not new),None,None
G10 PROTECTED_BASELINE,PASS,diff vs 7357c18d EMPTY for all five-role files; snapshots unchanged,None,None
G11 SOURCE_REVIEW,PASS,git diff --check clean; commit 9cedc33 = vercel.json only (2 insertions/2 deletions),None,None
G12 COMMIT_PUSH,READY,Commit 9cedc33 pushed; local HEAD == origin/master == 9cedc33,None,None
G13 DEPLOYMENT,READY,dpl_DC4o4oLjdmh5iuH4qYotJdHds5bw production READY (aliasAssigned); commit 9cedc33; githubDeployment=1; no build error,None,None
G14 PRODUCTION_HEALTH,PASS,/ = 200; /api/health/ = 200 {"status":"ok","database":{"ok":true,"error":null}},None,None
G15 DATABASE_HEALTH,PASS,health database.ok=true; no manual migration executed; build-time migrate is pre-existing setting,None,None
G16 MIGRATION_GATE,UNKNOWN,Classification preserved (INSUFFICIENT_EVIDENCE); no 0028 created,None,None
G17 FIVE_ROLE_ACCOUNT_AVAILABILITY,BLOCKED,GUARD/LIBRARIAN EXISTS; COUNSELLOR/ADMIN_OFFICER/NURSE NOT_PROVEN; no accounts created,3 roles no proven provisioning path,Future authorized E2E phase
G18 FRONTEND_TARGET,READY,frontend/vercel.json -> perfect-foundation-api.vercel.app/api; no perfect-foundation-backend runtime ref,None,None
G19 OVERALL,READY_FOR_FIVE_ROLE_E2E,Config reconciliation + redeploy succeeded; production live healthy,None,Authorized five-role E2E phase
