Route,Module,Backend_Implemented,Backend_Permission,Frontend_Route_Exists,Frontend_Nav_Exists,Frontend_Page_Exists,Status,Classification,Evidence,Notes
/api/library/books/,Library,YES,IsLibrarianRole,YES (/library),YES,YES (LibraryPage.jsx),PASS,IMPLEMENTED_AND_WORKING,LibraryPage.jsx uses this; tested with SUPER_ADMIN/ADMIN/TEACHER
/api/library/books/<pk>/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,LibraryPage.jsx edit/delete uses this
/api/library/books/<pk>/copies/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,LibraryPage.jsx copies modal uses this
/api/library/books/<pk>/copies/<pk>/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookCopyDetailView
/api/library/issues/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,LibraryPage.jsx issues tab uses this
/api/library/issues/<pk>/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookIssueDetailView
/api/library/issues/<pk>/return/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookReturnView; LibraryPage.jsx handleReturn uses this
/api/library/reservations/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookReservationListCreateView
/api/library/reservations/<pk>/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookReservationDetailView
/api/library/reservations/<pk>/fulfill/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookReservationFulfillView
/api/library/reservations/<pk>/cancel/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookReservationCancelView
/api/library/books/<pk>/copies/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookCopyListCreateView
/api/library/books/<pk>/copies/<pk>/,Library,YES,IsLibrarianRole,YES,YES,YES,PASS,IMPLEMENTED_AND_WORKING,BookCopyDetailView
/api/library/reports/,Library,NO,N/A,NO,NO,NO,404,ROUTE_DEFECT,ReportsPage.jsx expects /api/reports/library/; LibraryPage.jsx doesn't use this
/api/library/members/,Library,NO,N/A,NO,NO,NO,404,NOT_IMPLEMENTED,No frontend reference; no backend view
/api/library/settings/,Library,NO,N/A,NO,NO,NO,404,NOT_IMPLEMENTED,No frontend reference; no backend view
/api/library/,Library,NO,N/A,NO,NO,NO,404,NOT_IMPLEMENTED,No root view
/api/reports/library/,Library Reports,YES (LibraryOverviewReportView),IsAccountantRole,NO (reports base 404),YES (ReportsPage.jsx),NO,404,ROUTE_DEFECT,LibraryOverviewReportView exists in library_views.py; reports base /api/reports/ returns 404
/api/reports/library/inventory/,Library Reports,YES (LibraryInventoryReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,LibraryInventoryReportView exists; permission IsAccountantRole
/api/reports/library/available/,Library Reports,YES (AvailableBooksReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,AvailableBooksReportView exists
/api/reports/library/available/,Library Reports,YES (AvailableBooksReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,AvailableBooksReportView exists
/api/reports/library/issued/,Library Reports,YES (IssuedBooksReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,IssuedBooksReportView exists
/api/reports/library/returned/,Library Reports,YES (ReturnedBooksReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,ReturnedBooksReportView exists
/api/reports/library/overdue/,Library Reports,YES (OverdueBooksReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,OverdueBooksReportView exists
/api/reports/library/fines/,Library Reports,YES (LibraryFinesReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,LibraryFinesReportView exists
/api/reports/library/activity/,Library Reports,YES (LibraryActivitySummaryReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,LibraryActivitySummaryReportView exists
/api/reports/library/most-borrowed/,Library Reports,YES (MostBorrowedBooksReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,MostBorrowedBooksReportView exists
/api/reports/library/student-history/,Library Reports,YES (StudentBorrowingHistoryReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,StudentBorrowingHistoryReportView exists
/api/reports/library/teacher-history/,Library Reports,YES (TeacherBorrowingHistoryReportView),IsAccountantRole,NO,YES,NO,NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,TeacherBorrowingHistoryReportView exists
/api/reports/,Reports Base,NO (404),N/A,NO (404),YES (ReportsPage.jsx),NO,404,ROUTE_DEFECT,Reports base endpoint not implemented; ReportsPage.jsx expects this
