PHASE_97_STAGE_C_IMPLEMENTATION_MATRIX,Role,Module,Nav_Status,Route_Status,Frontend_Gate_Status,Backend_Permission_Status,Production_Assignment_Status,Expectation_Status,Implementation_Status
COUNSELLOR,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED,IMPLEMENTED
COUNSELLOR,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
COUNSELLOR,health-records,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
COUNSELLOR,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
COUNSELLOR,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
GUARD,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED,IMPLEMENTED
GUARD,visitors,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED,IMPLEMENTED
GUARD,health-records,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
GUARD,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
GUARD,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
NURSE,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED,IMPLEMENTED
NURSE,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
NURSE,health-records,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED,IMPLEMENTED
NURSE,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
NURSE,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
ADMINISTRATIVE_OFFICER,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED,IMPLEMENTED
ADMINISTRATIVE_OFFICER,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
ADMINISTRATIVE_OFFICER,health-records,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
ADMINISTRATIVE_OFFICER,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
ADMINISTRATIVE_OFFICER,library,NO,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
LIBRARIAN,helpdesk,YES,YES,PROVEN(B),UNKNOWN,UNKNOWN,NOT_ESTABLISHED,IMPLEMENTED
LIBRARIAN,visitors,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
LIBRARIAN,health-records,YES,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
LIBRARIAN,digital-ids,NO,YES,PROVEN_DENY,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
LIBRARIAN,library,YES,NO,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_ESTABLISHED,NOT_IMPLEMENTED
