Role,Account,Login_Attempted,Login_Status,Session_Created,Auth_Me_Status,Role_Verified,Frontend_Nav,Frontend_Page,Expected_Module_API,API_Status,Unauthorized_Denied,Certification_Status,Notes
LIBRARIAN,SA-EMP-00011,NO,NOT_ATTEMPTED,NO,N/A,N/A,YES (fixed),NOT_ATTEMPTED,/api/library/books/,NOT_TESTED,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,Provisioning fixed (role=librarian, must_change_password=False)
ACCOUNTANT,DEG-EMP-00031,NO,NOT_ATTEMPTED,NO,N/A,N/A,YES (fixed),NOT_ATTEMPTED,/api/finance/reports/trial-balance/,NOT_TESTED,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,Provisioning fixed (role=accountant, must_change_password=False)
GUARD,SA-EMP-00031,NO,NOT_ATTEMPTED,NO,N/A,N/A,NO (guard not in nav),NOT_ATTEMPTED,/api/visitors/,NOT_TESTED,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,Provisioning fixed (role=guard)
ADMIN_OFFICER,SA-EMP-00041,NO,NOT_ATTEMPTED,NO,N/A,N/A,NO (staff page),NOT_ATTEMPTED,/api/staff/,NOT_TESTED,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
NURSE,SA-EMP-0002,NO,REQUIRES_SCHOOL_CODE,NO,N/A,N/A,NO,NOT_ATTEMPTED,/api/health/,NOT_TESTED,NOT_TESTED,NOT CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE
HR,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED
RECEPTIONIST,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED
TRANSPORT,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED
INVENTORY,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED
HOSTEL,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED
TEACHER2,SA-EMP-0003,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
TEACHER3,SA-EMP-0004,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
STUDENT2,SA-ST-0002,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
STUDENT3,SA-ST-0003,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
