Account_Type,Username,Role,Designation,Institution,Campus,Must_Change_Password,RoleAssignment,StaffProfile_Exists,StaffProfile_Designation,StaffProfile_Department,Provisioning_Status,Session_Creation,Login_Tested,Certification_Status,Notes
SA-EMP-00011,librarian,Librarian,Springfield Academy,Springfield Academy - Bloom,False,librarian,YES,Librarian,Library,PROVISIONED,READY,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
DEG-EMP-00031,accountant,Accountant,Demo Education Group,N/A,False,accountant,YES,N/A,N/A,PROVISIONED,READY,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
SA-EMP-00031,guard,Security Guard,Springfield Academy,Springfield Academy - Bloom,False,guard,YES,Security Guard,Security,PROVISIONED,READY,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
SA-EMP-00041,staff,Administrative Officer,Springfield Academy,Springfield Academy - Bloom,False,staff,YES,Administrative Officer,Administration,PROVISIONED,READY,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
SA-ST-0002,student,Student,Springfield Academy,Springfield Academy - Bloom,False,student,YES,Student,Academics,PROVISIONED,READY,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
SA-ST-0003,student,Student,Springfield Academy,Springfield Academy - Bloom,False,student,YES,Student,Academics,PROVISIONED,READY,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
SA-EMP-00003,teacher,Teacher,Springfield Academy,N/A,True,teacher,NOT_FOUND,N/A,N/A,NOT_PROVISIONED,N/A,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
SA-EMP-0004,teacher,Teacher,Springfield Academy,N/A,True,teacher,NOT_FOUND,N/A,N/A,NOT_PROVISIONED,N/A,NOT_TESTED,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE
SA-EMP-00002,nurse,Nurse,Springfield Academy,N/A,True,staff,NOT_FOUND,N/A,N/A,NOT_PROVISIONED,N/A,NOT_TESTED,NOT CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE
SA-EMP-00001,teacher,Teacher,Springfield Academy,N/A,False,teacher,EXISTS,Teacher,Academics,PROVISIONED,TESTED,CERTIFIED
SA-ST-0001,student,Student,Springfield Academy,N/A,False,student,EXISTS,Student,Academics,PROVISIONED,TESTED,CERTIFIED
DI-EMP-0001,staff,Staff,Default Institution,Campus 7,False,staff,EXISTS,Staff,Administration,PROVISIONED,TESTED,CERTIFIED
Flora,principal,Principal,Springfield Academy,N/A,False,principal,EXISTS,Principal,Administration,PROVISIONED,TESTED,CERTIFIED
FrostFire,super_admin,Super Admin,Default Institution,N/A,False,super_admin,EXISTS,Platform Super Admin,Platform,PROVISIONED,TESTED,CERTIFIED
