Role,Module,UI,API,Authentication,Authorization,Tenant/Campus Isolation,Read Workflow,Safe Action,Mutation,Performance,Responsive UI,Status,Evidence IDs,Notes
F62-01,LIBRARIAN,Library,/api/library/books/,GET,200,200,200,350,inst_4,none,PASS,Session sa_librarian.txt verified; librarian role confirmed
F62-02,LIBRARIAN,Library,/api/library/issues/,GET,200,200,200,400,inst_4,none,PASS,Librarian can view issues
F62-03,LIBRARIAN,Library,/api/library/reservations/,GET,200,200,200,350,inst_4,none,PASS,Librarian can view reservations
F62-04,LIBRARIAN,Library,/api/library/,GET,404,404,404,100,inst_4,none,ROUTE_DEFECT,D-006: /api/library/ returns 404 (not deployed)
F62-05,LIBRARIAN,Library,/api/library/reports/,GET,404,404,404,100,inst_4,none,ROUTE_DEFECT,D-006: /api/library/reports/ returns 404 (not deployed)
F62-06,LIBRARIAN,Library,/api/library/members/,GET,404,404,404,100,inst_4,none,NOT_IMPLEMENTED,D-006: Endpoint not deployed
F62-07,LIBRARIAN,Library,/api/library/settings/,GET,404,404,404,100,inst_4,none,NOT_IMPLEMENTED,D-006: Endpoint not deployed
F62-08,LIBRARIAN,Auth,/api/auth/me/,GET,200,200,200,150,inst_4,none,PASS,Session verified; role=librarian, institution=Springfield Academy
F62-09,LIBRARIAN,Auth,/api/auth/login/,POST,200,200,200,200,inst_4,none,PASS,Login with username/password works
F62-10,ACCOUNTANT,Finance,/api/finance/reports/trial-balance/,GET,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_ATTEMPTED,NOT_CERTIFIED — ENDPOINT NOT TESTED,Finance reports not tested in this phase
F62-11,ACCOUNTANT,Library Reports,/api/reports/library/,GET,200,200,200,200,inst_2,none,PASS,Accountant can access library reports summary
F62-12,ACCOUNTANT,Library Reports,/api/reports/library/inventory/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,D-007: 500 error on library inventory report
F62-13,ACCOUNTANT,Library Reports,/api/reports/library/available/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-14,ACCOUNTANT,Library Reports,/api/reports/library/issued/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-15,ACCOUNTANT,Library Reports,/api/reports/library/returned/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-16,ACCOUNTANT,Library Reports,/api/reports/library/overdue/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-17,ACCOUNTANT,Library Reports,/api/reports/library/fines/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-18,ACCOUNTANT,Library Reports,/api/reports/library/activity/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-19,ACCOUNTANT,Library Reports,/api/reports/library/most-borrowed/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-20,ACCOUNTANT,Library Reports,/api/reports/library/student-history/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-21,ACCOUNTANT,Library Reports,/api/reports/library/teacher-history/,GET,500,500,500,100,inst_2,none,SERVER_ERROR,500 error
F62-22,ACCOUNTANT,Auth,/api/auth/me/,GET,200,200,200,150,inst_2,none,PASS,Session sa_accountant.txt verified; role=accountant
F62-23,ACCOUNTANT,Auth,/api/auth/login/,POST,200,200,200,200,inst_2,none,PASS,Login works
F62-24,GUARD,Security,/api/visitors/,GET,404,404,404,100,inst_4,none,NOT_IMPLEMENTED,Visitors endpoint returns 404 (not deployed)
F62-25,GUARD,Auth,/api/auth/me/,GET,200,200,200,150,inst_4,none,PASS,Session sa_guard.txt verified; role=guard
F62-26,GUARD,Auth,/api/auth/login/,POST,200,200,200,200,inst_4,none,PASS,Login works
F62-27,ADMIN_OFFICER,Staff,/api/staff/,GET,200,200,200,200,inst_4,none,PASS,Admin Officer can access staff list (count=7)
F62-28,ADMIN_OFFICER,Auth,/api/auth/me/,GET,200,200,200,150,inst_4,none,PASS,Session sa_admin_officer.txt verified; role=staff
F62-29,ADMIN_OFFICER,Auth,/api/auth/login/,POST,200,200,200,200,inst_4,none,PASS,Login works
F62-30,NURSE,Health,/api/health-records/,GET,404,404,404,100,inst_4,none,NOT_IMPLEMENTED,Health records endpoint returns 404 (not deployed)
F62-31,NURSE,Auth,/api/auth/me/,GET,200,200,200,150,inst_4,none,PASS,Session sa_nurse_inst4.txt verified; role=nurse (with school_code SPR-J4839)
F62-32,NURSE,Auth,/api/auth/login/,POST,200,200,200,200,inst_4,none,PASS,Login with school_code works
F62-33,HR,HR,/api/hr/,GET,404,404,404,100,inst_2,none,NOT_IMPLEMENTED,HR endpoint returns 404 (not deployed)
F62-34,HR,Payroll,/api/payroll/,GET,404,404,404,100,inst_2,none,NOT_IMPLEMENTED,Payroll endpoint returns 404 (not deployed)
F62-35,HR,Auth,/api/auth/me/,GET,200,200,200,150,inst_2,none,PASS,Session sa_hr.txt verified; role=hr
F62-36,HR,Auth,/api/auth/login/,POST,200,200,200,200,inst_2,none,PASS,Login works
F62-37,RECEPTIONIST,Visitors,/api/visitors/,GET,404,404,404,100,inst_2,none,NOT_IMPLEMENTED,Visitors endpoint returns 404 (not deployed)
F62-38,RECEPTIONIST,Auth,/api/auth/me/,GET,200,200,200,150,inst_2,none,PASS,Session sa_receptionist.txt verified; role=receptionist
F62-39,RECEPTIONIST,Auth,/api/auth/login/,POST,200,200,200,200,inst_2,none,PASS,Login works
