evidence_id,source,evidence_type,value,status,supports,limitations
E01,root vercel.json,deployment_config,"framework=python; rootDirectory=backend; installCommand=pip install -r requirements.txt; buildCommand=python manage.py migrate --noinput && python manage.py collectstatic --noinput && echo 'BUILD_VERSION=20260923-05'; python=python3.11; functions=backend (string, non-standard)",PROVEN,Backend build/runtime intent,Build only proves config not what Vercel serves
E02,frontend vercel.json,deployment_config,"rewrites: /api/:path -> https://perfect-foundation-api.vercel.app/api/:path; /(.*) -> /index.html; CSP + Reporting-Endpoints headers; Cache-Control no-store; buildId=phase64-deploy-$(date +%s)",PROVEN,Frontend serve + API proxy design,buildId not observable in responses
E03,backend vercel.json,deployment_config,MISSING on disk (removed in 4112ad5),PROVEN,Single root config source,NA
E04,frontend/.vercel/.env.production.local,local_build_env,"36 keys present; VERCEL_ENV=production; VITE_API_URL=https://perfect-foundation-api.vercel.app/api; VERCEL_GIT_COMMIT_SHA empty; VERCEL_GIT_PREVIOUS_SHA empty; VERCEL_URL empty",PROVEN,Frontend build env shape,Local build env only; no commit SHA stored
E05,frontend/.vercel/project.json,vercel_project_link,"projectId=prj_01w0P0HcW9BnLS6ustNxn6b6qsE3; orgId=team_tfsvfjmV8ob1tVBJEIsNIMVy; projectName=perfect-foundation-sms; framework=vite; nodeVersion=24.x",PROVEN,Identifies linked Vercel project,Links do not prove what production serves
E06,backend/.vercel/project.json,vercel_project_link,"projectId=prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9; orgId=team_tfsvfjmV8ob1tVBJEIsNIMVy; projectName=perfect-foundation-api",PROVEN,Identifies backend Vercel project,Same caveat as E05
E07,frontend/.vercel/output,local_build_artifact,"Build Output API v3; @vercel/static-build; vite 8.2.1; node 24; cliVersion 59.10.0; routes mirror config.json incl api rewrite",PROVEN,A local vercel build --prod ran,Proves local build only; NOT what production serves
E08,vercel.cmd --version,vercel_cli,59.10.0,PROVEN,Vercel CLI present and functional,vercel.ps1/npx.ps1 shims blocked by PowerShell execution policy
E09,vercel auth state,vercel_auth,"No ~/.vercel dir; no auth.json; no config.json; VERCEL_TOKEN unset; whoami -> Worker timed out after 10 seconds (write EPIPE); --token smoke rejects placeholder",PROVEN,CLI parses args non-interactively with valid token,No valid token -> AUTH UNAVAILABLE; no auth bypass attempted
E10,git rev-parse HEAD,local_git_identity,"e48033b6f690912eb5a223639d16be8b09024d15 (master; origin/master=e48033b)",PROVEN,Local commit identity,Local HEAD not equal to deployed revision (see E14/E15)
E11,git status --short,local_worktree,54 lines: 53 untracked + 1 staged-new (test_smoke.py); 0 modified tracked,PROVEN,Tracked worktree clean,Untracked/staged phase artifacts present
E12,backend/config/urls.py:81,source_route,path(api/deploy-test/, DeployTestView.as_view()) present in HEAD,PROVEN,Route exists in source (expect 200 + marker in HEAD),Not deployed (see E15)
E13,backend/config/urls.py:19-40,source_view,DeployTestView GET returns status=deployed + marker=PHASE66_DEPLOYMENT_PROOF_20260923 + commit=<git sha>; permission_classes=[]; no env dependency,PROVEN,Endpoint design + expected marker; marker const at line 17,Not deployed (see E15)
E14,backend/config/urls.py:65,source_health,health_check returns deploy_version=63-test-3 in HEAD,PROVEN,HEAD health payload shape,Deployed API does not return this field (see E16)
E15,LIVE https://perfect-foundation-api.vercel.app/api/deploy-test/,http_probe,"HTTP 404; text/html; Server=Vercel; x-vercel-id=bom1::iad1::26nvz-1790203172859-ff76db10274f; x-vercel-cache=MISS; ~2.5s",PROVEN,Route absent from deployed API revision; deployed revision predates d540ab2,No marker/body returned
E16,LIVE https://perfect-foundation-api.vercel.app/api/health/?probe=db,http_probe,"HTTP 200; application/json; body={\"status\":\"ok\",\"database\":{\"ok\":true,\"error\":null},\"utc_now\":\"2026-09-23T22:40:07.900155+00:00\"}; Server=Vercel; x-vercel-id=bom1::iad1::8kqhr-1790203166383-004be40b26b1; ~6.8s",PROVEN,database ok; Health payload LACKS deploy_version -> deployed revision predates 30fa841,NA
E17,LIVE https://perfect-foundation-sms.vercel.app/api/health/?probe=db,http_probe,"HTTP 200; same JSON as API; Server=Vercel; x-vercel-id=bom1:bom1:bom1::iad1::7j46t-1790203175587-0afc0e270442; ~2.8s",PROVEN,Frontend /api rewrite/proxy functioning correctly,NA
E18,LIVE https://perfect-foundation-sms.vercel.app/api/deploy-test/,http_probe,"HTTP 404; text/html; Server=Vercel; ~2.3s",PROVEN,Proxy forwards to API which 404s; not a rewrite defect,NA
E19,LIVE https://perfect-foundation-sms.vercel.app/,http_probe,"HTTP 200; text/html; <title>School Management System</title>; /assets/index-* vite bundles; Server=Vercel",PROVEN,Vite SPA served from frontend deployment,Commit SHA not observable from HTML/bundles
E20,git log --follow backend/config/urls.py,git_history,"health_check since 946fca3 (initial); deploy-test added d540ab2; deploy_version added 30fa841; PHASE66 marker added 4a14028",PROVEN,Bounds deployed url: descendant of 946fca3 and NOT descendant of d540ab2 -> exact SHA unprovable,Deployment pinned to commit interval not exact SHA
E21,x-vercel-id headers,http_metadata,"Values like bom1::iad1::8kqhr-1790203166383-004be40b26b1 are request/function invocation tokens; differ per request",INFERRED,Not deployment IDs,Tokens not documented as deployment identifiers
E22,.github/workflows/ci.yml,ci_config,"Jobs: frontend npm ci+lint+build; backend makemigrations --check + manage.py test; no vercel CLI/GH-action deploy step",PROVEN,No auto-deploy on push to master; production manually deployed -> stale build plausible,Does not prove when last manual deploy happened
E23,DEPLOYMENT_COMMIT_MATCH: local HEAD vs production,derived_conclusion,"MISMATCH_PROVEN: HEAD e48033b contains deploy-test+deploy_version that deployed API lacks (E15/E16) while same function serves health",PROVEN,Local HEAD not deployed; prod runs older revision,Exact prod SHA unknown (see E20)
E24,DEPLOY_TEST_404_CLASSIFICATION,derived_conclusion,STALE_DEPLOYMENT_PREDATES_ROUTE (route added d540ab2 after deployed revision); function executes (health 200) so not packaging/routing/env defect,PROVEN,404 root cause explained without app-defect label,Requires deploy of >=4a14028 to reproduce expected 200
E25,PRODUCTION_DEPLOYMENT_ID / PRODUCTION_COMMIT_SHA,deployment_identity,Not enumerable without authenticated Vercel session; VERCEL_GIT_COMMIT_SHA empty in local build env,UNKNOWN,NA,Blocked by VERCEL_AUTH_UNAVAILABLE
E26,FRONTEND_DEPLOYMENT_ID / FRONTEND_COMMIT_SHA,deployment_identity,Not enumerable without authenticated Vercel session; SPA has no observable build fingerprint,UNKNOWN,NA,Blocked by VERCEL_AUTH_UNAVAILABLE
