Report,Endpoint,Backend_Implemented,Permission_Classes,Permission_Allows,Frontend_Linked,HTTP_Status,Classification,Notes
Library Inventory,/api/reports/library/inventory/,YES (LibraryInventoryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,500 error - data issue not permission
Available Books,/api/reports/library/available/,YES (AvailableBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,500 error
Issued Books,/api/reports/library/issued/,YES (IssuedBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,500 error
Returned Books,/api/reports/library/returned/,YES (ReturnedBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,500 error
Overdue Books,/api/reports/library/overdue/,YES (OverdueBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,500 error
Library Fines,/api/reports/library/fines/,YES (LibraryFinesReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),200,PARTIAL_IMPLEMENTED_BROKEN,Works but librarians excluded before fix
Library Activity Summary,/api/reports/library/activity/,YES (LibraryActivitySummaryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),200,PARTIAL_IMPLEMENTED_BROKEN,Works but librarians excluded before fix
Most Borrowed Books,/api/reports/library/most-borrowed/,YES (MostBorrowedBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,500 error
Student Borrowing History,/api/reports/library/student-history/,YES (StudentBorrowingHistoryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,Requires student parameter
Teacher Borrowing History,/api/reports/library/teacher-history/,YES (TeacherBorrowingHistoryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,Requires teacher parameter
Library Overview,/api/reports/library/,YES (LibraryOverviewReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),404,ROUTE_DEFECT,Reports base /api/reports/ returns 404
/api/reports/,Reports Base,NO (404),N/A,N/A,N/A,N/A,YES (ReportsPage.jsx),404,ROUTE_DEFECT,Reports base endpoint not implemented
