role,account_label,page,url,visible,loaded,api_status,authorization,data_loaded,console_errors,network_errors,workflow_status,evidence_id,final_status,notes
SUPER_ADMIN,FrostFire,Dashboard,/,true,PASS,200,allowed,true,none,none,PASS,SA-001,PASS,"Cross-tenant stats: 5 students, 1 teacher, 3 staff"
SUPER_ADMIN,FrostFire,Students,/students,true,PASS,200,allowed,true,none,none,PASS,SA-002,PASS,"results=5 (cross-tenant)"
SUPER_ADMIN,FrostFire,Teachers,/teachers,true,PASS,200,allowed,true,none,none,PASS,SA-003,PASS,"results=1"
SUPER_ADMIN,FrostFire,Staff,/staff,true,PASS,200,allowed,true,none,none,PASS,SA-004,PASS,"results=3"
SUPER_ADMIN,FrostFire,Attendance,/attendance,true,PASS,200,allowed,true,none,none,PASS,SA-005,PASS,"results=0"
SUPER_ADMIN,FrostFire,Exams,/exams,true,PASS,200,allowed,true,none,none,PASS,SA-006,PASS,"results=0"
SUPER_ADMIN,FrostFire,Report Cards,/report-cards,true,PASS,200,allowed,true,none,none,PASS,SA-007,PASS,"results=0"
SUPER_ADMIN,FrostFire,Finance Invoices,/finance,true,PASS,200,allowed,true,none,none,PASS,SA-008,PASS,"results=0"
SUPER_ADMIN,FrostFire,Finance Payments,/finance,true,PASS,200,allowed,true,none,none,PASS,SA-009,PASS,"results=0"
SUPER_ADMIN,FrostFire,Finance Categories,/finance,true,PASS,200,allowed,true,none,none,PASS,SA-010,PASS,"count=0"
SUPER_ADMIN,FrostFire,HR Employees,/hr,true,PASS,200,allowed,true,none,none,PASS,SA-011,PASS,"results=0"
SUPER_ADMIN,FrostFire,Payroll Records,/payroll,true,PASS,200,allowed,true,none,none,PASS,SA-012,PASS,"results=0"
SUPER_ADMIN,FrostFire,Reports Enrollment,/reports,true,PASS,200,allowed,true,none,none,PASS,SA-013,PASS,"count=0"
SUPER_ADMIN,FrostFire,Reports Attendance,/reports,true,PASS,200,allowed,true,none,none,PASS,SA-014,PASS,"count=0"
SUPER_ADMIN,FrostFire,Reports Fees,/reports,true,PASS,200,allowed,true,none,none,PASS,SA-015,PASS,"count=0"
SUPER_ADMIN,FrostFire,Schools Campuses,/campuses,true,PASS,200,allowed,true,none,none,PASS,SA-016,PASS,"count=0"
SUPER_ADMIN,FrostFire,Schools Classes,/academics,true,PASS,200,allowed,true,none,none,PASS,SA-017,PASS,"count=0"
SUPER_ADMIN,FrostFire,AI Overview,/ai-assistant,true,PASS,200,allowed,true,none,none,PASS,SA-018,PASS,"count=0"
SUPER_ADMIN,FrostFire,Notifications,/messages,true,PASS,200,allowed,true,none,none,PASS,SA-019,PASS,"count=0"
SUPER_ADMIN,FrostFire,Dashboard Overview (alt),/api/dashboard/overview/,true,PASS,200,allowed,true,none,none,PASS,SA-020,PASS,"Full cross-tenant stats"
SUPER_ADMIN,FrostFire,Auth Me,/api/auth/me/,true,PASS,200,allowed,true,none,none,PASS,SA-021,PASS,"id=1154, super_admin, is_superuser=true"
ADMIN,Flora,Dashboard,/,true,FAIL,TIMEOUT,allowed,false,none,TIMEOUT,FAIL,AD-001,FAIL,"/api/dashboard/overview/ TIMEOUT >15s"
ADMIN,Flora,Students,/students,true,FAIL,TIMEOUT,allowed,false,none,TIMEOUT,FAIL,AD-002,FAIL,"/api/students/ TIMEOUT >15s"
ADMIN,Flora,Teachers,/teachers,true,PASS,200,allowed,true,none,none,PASS,AD-003,PASS,"results=1"
ADMIN,Flora,Staff,/staff,true,PASS,200,allowed,true,none,none,PASS,AD-004,PASS,"results=3"
ADMIN,Flora,Attendance,/attendance,true,PASS,200,allowed,true,none,none,PASS,AD-005,PASS,"results=0"
ADMIN,Flora,Exams,/exams,true,PASS,200,allowed,true,none,none,PASS,AD-006,PASS,"results=0"
ADMIN,Flora,Report Cards,/report-cards,true,PASS,200,allowed,true,none,none,PASS,AD-007,PASS,"results=0"
ADMIN,Flora,Finance Invoices,/finance,true,PASS,200,allowed,true,none,none,PASS,AD-008,PASS,"results=0"
ADMIN,Flora,Finance Payments,/finance,true,PASS,200,allowed,true,none,none,PASS,AD-009,PASS,"results=0"
ADMIN,Flora,Finance Categories,/finance,true,PASS,200,allowed,true,none,none,PASS,AD-010,PASS,"count=0"
ADMIN,Flora,HR Employees,/hr,true,PASS,200,allowed,true,none,none,PASS,AD-011,PASS,"results=0"
ADMIN,Flora,Payroll Records,/payroll,true,PASS,200,allowed,true,none,none,PASS,AD-012,PASS,"results=0"
ADMIN,Flora,Reports Enrollment,/reports,true,PASS,200,allowed,true,none,none,PASS,AD-013,PASS,"count=0"
ADMIN,Flora,Reports Attendance,/reports,true,PASS,200,allowed,true,none,none,PASS,AD-014,PASS,"count=0"
ADMIN,Flora,Reports Fees,/reports,true,PASS,200,allowed,true,none,none,PASS,AD-015,PASS,"count=0"
ADMIN,Flora,Schools Campuses,/campuses,true,PASS,200,allowed,true,none,none,PASS,AD-016,PASS,"count=0"
ADMIN,Flora,Schools Classes,/academics,true,PASS,200,allowed,true,none,none,PASS,AD-016,PASS,"count=0"
ADMIN,Flora,Auth Me,/api/auth/me/,true,PASS,200,allowed,true,none,none,PASS,AD-017,PASS,"id=1176, principal, institution=Springfield Academy"
TEACHER_01,SA-EMP-0001,Dashboard,/,true,PASS,200,allowed,true,none,none,PASS,TEA-001,PASS,"Teacher dashboard data"
TEACHER_01,SA-EMP-0001,Students,/students,true,PASS,200,allowed,true,none,none,PASS,TEA-002,PASS,"results=0 (class-scoped)"
TEACHER_01,SA-EMP-0001,Attendance,/attendance,true,PASS,200,allowed,true,none,none,PASS,TEA-003,PASS,"results=0"
TEACHER_01,SA-EMP-0001,Exams,/exams,true,PASS,200,allowed,true,none,none,PASS,TEA-003,PASS,"results=0"
TEACHER_01,SA-EMP-0001,Report Cards,/report-cards,true,PASS,200,allowed,true,none,none,PASS,TEA-004,PASS,"results=0"
TEACHER_01,SA-EMP-0001,Schools Campuses,/campuses,true,PASS,200,allowed,true,none,none,PASS,TEA-005,PASS,"count=0"
TEACHER_01,SA-EMP-0001,Schools Classes,/academics,true,PASS,200,allowed,true,none,none,PASS,TEA-006,PASS,"count=0"
TEACHER_01,SA-EMP-0001,Auth Me,/api/auth/me/,true,PASS,200,allowed,true,none,none,PASS,TEA-007,PASS,"id=1160, teacher"
TEACHER_02,SA-EMP-0003,Dashboard,/,true,PASS,200,allowed,true,none,none,PASS,TEA-008,PASS,"Teacher dashboard data"
TEACHER_02,SA-EMP-0003,Students,/students,true,PASS,200,allowed,true,none,none,PASS,TEA-009,PASS,"results=0"
TEACHER_02,SA-EMP-0003,Attendance,/attendance,true,PASS,200,allowed,true,none,none,PASS,TEA-010,PASS,"results=0"
